STATION CODE,LOCATIONS,STATE,Temp,D.O. (mg/l),PH,CONDUCTIVITY (�mhos/cm),B.O.D. (mg/l),Turbidity,Hardness,Nitrate,TOTAL COLIFORM (MPN/100ml),Mean,year
1443,"ACHENKOIL AT CHENNITHULA, KERALA",NAN,26,7,63,6.4,0.6,4.32,143.4537313,0.278,3550,2003
1442,"VAMANAPURAM, KERALA",NAN,27,6.8,72,6.6,0.6,3.51,198.6143947,0.53,1350,2003
1563,"AMARAVILA, KERALA",NAN,26,6.8,83,6.5,0.9,4.43,233.8589957,0.417,1350,2003
1564,"AYUR, KERALA",NAN,24,7,69,6.4,1.2,5.18,194.8740654,0.222,1400,2003
1566,"THIRURANGADY, KERALA",NAN,28,6.8,88,6.9,0.9,4.69,238.6899285,0.307,1600,2003
1567,"KUTTIYADY ESTATE, KERALA",NAN,27,6.9,31,7,0.5,4.54,202.817483,0.164,158,2003
1568,"VALAYUM, KERALA",NAN,27,6.8,46,6.9,0.5,4.14,183.3494541,0.149,905,2003
1569,"THALIPARAMBA, KERALA",NAN,26,7.2,20850,6.5,0.9,3.2,216.8504739,0.477,1475,2003
1570,"HOSDURG, KERALA",NAN,25,7,24336,6.7,1.1,4,209.638293,0.529,620,2003
1571,"KAKKADAVU,  KERALA",NAN,25,7.1,77,7.2,0.3,4.41,173.3754984,0.411,985,2003
1572,"PADIYATHADKA, KERALA",NAN,25,7.1,76,7,0.4,3.63,129.8905723,0.167,735,2003
1573,"IRUPANAM, KERALA",NAN,29,6.5,3384,3.7,1.9,3.05,200.1914004,0.757,643,2003
1093,"ULHAS AT U/S OF NRC BUND AT MOHANE,MAHARASHTRA",NAN,26,7.7,280,6.6,5.7,2.45,168.3884308,0.994,223,2003
1094,"ULHAS AT U/S OF BADLAPUR, MAHARASHTRA",NAN,27,7.8,183,6.9,5,3.74,100.4576151,0.497,211,2003
1461,"BHATSA AT D/S OF PISE DAM NEAR PISE VILLAGE (ULHAS), MAHARASHTRA",NAN,24,7.7,107,6.8,5.2,3.79,145.0101719,0.386,208,2003
1092,"KALU AT ATALE VILLAGE, MAHARASHTRA",NAN,25,7.5,185,5.6,6.5,3.96,211.7141418,0.514,224,2003
1462,"PATALGANGA NEAR INTAKE OF MIDC W/W, MAHARASHTRA",NAN,27,7.3,157,6,5.6,4.78,181.8933656,0.603,221,2003
1151,"PATALGANGA AT SHILPHATA, MAHARASHTRA",NAN,28,7.4,150,6.3,6,3.94,260.0921726,0.614,269,2003
1152,"KUNDALIKA AT ROHA CITY, MAHARASHTRA",NAN,26,7.4,139,5.8,5.9,4.46,238.3351125,0.453,213,2003
1424,"IMPHAL AT MAHABALI, MANIPUR",NAN,21,7.3,111,7.1,2.4,4.41,190.2870501,NAN,80,2003
1457,"IMPHAL AT KOIRENGEI, MANIPUR",NAN,21,7.4,74,7.5,1.2,4.09,157.8011936,NAN,64,2003
1627,"KIYAMGI, MANIPUR",NAN,21,7.5,77,7.4,3.2,3.9,155.0557268,NAN,65,2003
1628,"MINUTHONG(IMPHAL RIVER, MANIPUR",NAN,21,7.3,97,7.3,1.9,3.92,233.402835,NAN,78,2003
1458,"IRIL AT PORAMPET, MANIPUR",NAN,21,7.4,121,7.5,2.7,3.86,213.0178297,NAN,69,2003
1624,"LILONG, MANIPUR",NAN,21,7.4,142,6.7,1.3,4.48,229.4856937,NAN,73,2003
1625,"HUMP BRIDGE, MANIPUR",NAN,23,7.3,112,8.1,17.2,4.07,195.1437388,NAN,225,2003
1626,"HEIRANGOITHONG, MANIPUR",NAN,21,7.5,124,3.7,18.5,5.22,127.7396738,NAN,247,2003
1427,"UMTREW AT BYRNIHAT EAST, MEGHALAYA",NAN,20,6.9,223,6.3,6.8,5.11,212.3066183,NAN,295,2003
1428,"KHARKHLA NEAR SUTNGA KHLIERIAT,JAINTIA HILLS DT.,MEGHALAYA",NAN,17,3.1,493,5.8,5.9,4.62,238.5693804,NAN,33,2003
1631,"MYNTDU RIVER JOWAI, MEGHALAYA",NAN,15,6.9,142,7.3,2.2,3.44,103.4647587,NAN,1573,2003
1632,"GANOL RIVER TURA, MEGHALAYA",NAN,20,6.9,145,7.8,1.8,3.64,211.200526,NAN,245,2003
1633,"SIMSANG RIVER WILLIAMNAGAR, MEGHALAYA",NAN,21,7,145,7.3,2.3,3.88,179.8897882,NAN,363,2003
1455,"RUSHIKULYA AT GANJAM U/S, ORISSA",NAN,30,8.1,569,8.2,1.6,4.16,183.08931,1.028,6050,2003
1456,"RUSHIKULYA AT GANJAM D/S, ORISSA",NAN,27,7.7,28598,7.7,1.7,5.33,116.2993299,0.962,3200,2003
1642,"NAGAVALLI AT JAYKAYPUR D/S, ORISSA",NAN,30,7.4,219,6.8,3,3.87,130.9444639,0.964,11300,2003
1643,"NAGAVALLI AT RAYAGADA D/S, ORISSA",NAN,29,7.2,198,7.2,2.1,4.66,242.2286673,1.03,4950,2003
1685,"ARASALAR RIVER KARAIKAL REGION, PONDICHERRY",NAN,29,8,978,5.4,9,5.02,219.3009142,1.24,NAN,2003
1717,"KODRA DAM, MOUNT ABU, RAJASTHAN",NAN,21,7.6,203,6.3,1.9,3.76,211.3601667,0.107,109,2003
1159,"TAMBIRAPARANI AT BDG.NR. MADURA COATS LTD.PAPAVINASAM,TAMILNADU",NAN,29,7.2,150,7.5,1.3,3.66,158.7320758,0.142,327,2003
1160,"TAMBIRAPARANI AT CHERANMADEVI,CAUSE WAY,TAMILNADU",NAN,31,7.3,178,6.7,1.5,2.29,163.6397469,0.138,190,2003
1161,"TAMBIRAPARANI AT TIRUNELVELI,COLLECTORATE,    TAMILNADU.",NAN,29,7.1,214,6.8,2.3,3.51,176.6839728,0.585,350,2003
1162,"TAMBIRAPARANI AT MURAPPANADU, TAMILNADU",NAN,NAN,7.5,293,7.2,1.2,5.01,217.522862,0.568,35,2003
1328,"TAMBIRAPARANI AT PAPPANKULAM,TAMILNADU",NAN,28,6.9,146,7.1,2,3.76,233.7643427,0.506,38,2003
1329,"TAMBIRAPARANI AT RAIL BDG. NR. AMBASAMUDAM, TAMILNADU",NAN,28,7,136,7.5,1.4,3.77,168.728583,0.609,205,2003
1330,"TAMBIRAPARANI AT ARUMUGANERI, TAMILNADU",NAN,NAN,7.9,738,7.2,2.7,2.99,204.9617498,0.518,202,2003
1450,"PALAR AT VANIYAMBADI WATER SUPPLY HEAD WORK, TAMILNADU",NAN,29,7.5,585,6.3,2.6,4.19,258.952732,0.155,315,2003
1403,"GUMTI AT U/S SOUTH TRIPURA,TRIPURA",NAN,28,7.6,98,6.2,1.2,3.61,133.8342291,NAN,570,2003
1404,"GUMTI AT D/S SOUTH TRIPURA, TRIPURA",NAN,28,7.7,91,6.5,1.3,4.92,195.4177209,NAN,562,2003
1726,"CHANDRAPUR, AGARTALA D/S OF HAORA RIVER, TRIPURA",NAN,29,7.6,110,5.7,1.1,3.39,232.0751766,NAN,546,2003
1448,"NAGAVALLI AT THOTAPALLI REGULATOR, AP",NAN,30,7.8,239,6.2,1.7,5,199.1812511,2.188,10720,2004
1399,"ZUARI AT D/S OF PT. WHERE KUMBARJRIA CANAL JOINS, GOA",NAN,29,7.5,442,6.7,3.4,2.56,300.2924758,NAN,132,2004
NAN,"NAGAVALLI AT THOTAPALLI REGULATOR, A.P.",NAN,28,5.6,7.65,375.2,1.758,4.38,206.3696824,1.995,18417,2005
NAN,"DAMANGANGA AT D/S OF MADHUBAN, DAMAN",NAN,NAN,NAN,7.76,233.3,10.825,3.36,197.9797828,5.657,NAN,2005
NAN,"DAMANGANGA  AFTER CONFL. OF PIPARIA DRAIN, DAMAN",NAN,NAN,NAN,NAN,NAN,1,3.17,199.1078856,1.01,37000,2005
NAN,"DAMANGANGA AT CIRCUIT HOUSE, SILVASA, DADRA AND NAGAR HAVELI",NAN,NAN,NAN,NAN,NAN,112,2.02,237.9199268,5.5,6400000,2005
NAN,"DAMANGANGA AT KACHIGAON U\S AT GIDC WIER,GUJARAT",NAN,26,7.2,7.84,342.8,1.764,3.65,253.2170742,0.528,230,2005
NAN,"DAMANGANGA AT KACHIGAON D\S (DAMAN),GUJARAT",NAN,27,5,7.22,18370.3,19.663,5.36,203.1465468,0.452,13525,2005
NAN,BALEHWAR KHADI AT N.H. NO. 8,NAN,29,6.2,8.11,480,11.333,4.76,197.8760897,0.39,18810,2005
NAN,RIVER PURNA ON BRIDGE AT SURATNANNAVSARI HIGHWAY,NAN,27,7.2,8.07,580,4,5.07,220.6705396,0.37,280,2005
NAN,RIVER KAVERI ON BRIDGE AT BILLIMORANANVALSAD ROAD,NAN,28,6.2,7.98,11125,5,3.71,135.8023617,0.39,50350,2005
